Ciclo	Colegio	Precio
Diurno	San Felipe Neri	185,050,00
Diurno	UNICAP	104,000,00
Diurno	Colegio Canapro	565,000,00
Diurno	Liceo Siglo XXI	122,000,00
Diurno	MonteHelena	310,000,00
Diurno	Americana De Sistemas Y Comercio	130,000,00
Diurno	 Alexander Humboldt	420,000,00
Diurno	Liceo Catolico	184,000,00
Diurno	Cent De Promoción San José	260,000,00
Diurno	Colegio Cristo Rey	190,000,00
Diurno	Gimnasio Del Corazón De María	86,000,00
Diurno	Liceo El Encuentro	135,000,00
Diurno	Colegio Gimn Americano	380,000,00
Diurno	Formación Educ Personalizada	102,000,00
Diurno	Colegio Harvard	531,000,00
Diurno	Liceo Hermano Miguel La Salle	400,000,00
Diurno	 Marillac	162,000,00
Diurno	 Mercedario San Pedro Nolasco	312,000,00
Diurno	Moderno Americano	200,000,00
